Amount,ETH Price,KyberBuy,KyberSell,UniswapBuy,UniswapSell,KyberToUniswap,UniswapToKyber,Time
1,401.00,401.91,400.78,401.94,399.48,2.44,1.16,2020-08-21T13:47:33.987Z
2,401.00,402.00,400.78,401.97,399.45,2.55,1.19,2020-08-21T13:47:38.037Z
3,401.00,402.00,400.78,402.00,399.42,2.58,1.21,2020-08-21T13:47:41.383Z
4,401.00,402.02,400.78,402.02,399.39,2.63,1.24,2020-08-21T13:47:44.818Z
5,401.00,402.03,400.78,402.05,399.36,2.66,1.27,2020-08-21T13:47:47.919Z
6,401.00,402.09,400.78,402.08,399.34,2.76,1.30,2020-08-21T13:47:51.394Z
7,401.00,402.09,400.78,402.11,399.31,2.79,1.33,2020-08-21T13:47:55.735Z
8,401.00,402.13,400.38,402.14,399.28,2.85,1.75,2020-08-21T13:47:59.203Z
9,401.00,402.17,400.78,402.17,399.25,2.91,1.38,2020-08-21T13:48:02.700Z
10,401.00,402.19,400.78,402.19,399.22,2.97,1.41,2020-08-21T13:48:06.054Z
11,401.00,402.58,400.63,402.58,399.55,3.03,1.95,2020-08-21T13:48:09.660Z
12,401.00,402.28,400.63,402.61,399.52,2.75,1.98,2020-08-21T13:48:14.472Z
13,401.00,399.82,400.63,399.81,396.70,3.12,-0.81,2020-08-21T13:48:25.381Z
14,405.00,404.33,400.78,407.87,404.63,-0.30,7.09,2020-08-21T13:48:34.279Z
15,401.00,404.46,404.60,404.63,401.37,3.09,0.03,2020-08-21T13:48:41.996Z
16,401.00,404.46,404.57,404.66,401.34,3.12,0.09,2020-08-21T13:48:46.112Z
17,401.00,404.46,404.57,404.69,401.31,3.15,0.12,2020-08-21T13:48:50.209Z
18,401.00,404.46,401.28,404.72,401.28,3.18,3.44,2020-08-21T13:48:54.408Z
19,401.00,404.46,404.47,404.32,400.83,3.62,-0.15,2020-08-21T13:48:57.990Z
20,401.00,404.46,404.47,404.35,400.80,3.65,-0.12,2020-08-21T13:49:12.619Z
21,401.00,404.38,400.78,403.75,400.16,4.23,2.98,2020-08-21T13:49:16.118Z
22,401.00,404.46,404.38,403.78,400.13,4.33,-0.60,2020-08-21T13:49:19.857Z
23,401.00,404.46,404.38,403.81,400.10,4.36,-0.57,2020-08-21T13:49:24.004Z
24,401.00,403.84,400.51,403.84,400.07,3.77,3.33,2020-08-21T13:49:28.096Z
25,401.00,404.46,404.29,403.85,400.03,4.43,-0.44,2020-08-21T13:49:31.842Z
26,401.00,404.46,400.51,403.88,400.00,4.45,3.38,2020-08-21T13:49:36.096Z
27,401.00,403.91,400.51,403.91,399.97,3.94,3.40,2020-08-21T13:49:40.797Z
28,401.00,403.94,400.51,403.94,399.95,3.99,3.43,2020-08-21T13:49:45.610Z
29,401.00,403.97,400.51,404.52,400.47,3.50,4.02,2020-08-21T13:49:49.252Z
30,401.00,404.46,400.51,404.59,400.48,3.98,4.08,2020-08-21T13:49:57.819Z
